rank,position,title,asin,rating,ratings_total,price.symbol,price.value,price.currency,price.raw,current_category.name,current_category.id,parent_category.name,parent_category.id
33,33,Persona 3 Reload: Standard Edition - PlayStation 5,B0CGFCC193,4.7,300,$,54.99,CAD,$54.99,Video Games,videogames,Any Department,zgbs
34,34,"HyperX Cloud Alpha - Gaming Headset, Dual Chamber Drivers, Legendary Comfort, Aluminum Frame, Detachable Microphone, Works on",B074NBSF9N,4.4,25945,$,99.99,CAD,$99.99,Video Games,videogames,Any Department,zgbs
35,35,Amazon Basics Ergonomic Wireless PC Mouse - DPI adjustable - Black,B0787D6SGQ,4.3,21399,$,18.99,CAD,$18.99,Video Games,videogames,Any Department,zgbs
36,36,New Super Mario Bros. U Deluxe Switch,B07HKVRQZ9,4.8,4047,$,68.0,CAD,$68.00,Video Games,videogames,Any Department,zgbs
37,37,[4 Pack] iVoler Tempered Glass Screen Protector Designed for Nintendo Switch OLED Model 2021 with [Alignment Frame] Transpare,B09B4MJ9H3,4.7,24564,$,12.98,CAD,$12.98,Video Games,videogames,Any Department,zgbs
38,38,The Legend of Zelda™: Tears of the Kingdom – Nintendo Switch,B0BV8XX3FF,4.9,3066,$,80.0,CAD,$80.00,Video Games,videogames,Any Department,zgbs
39,39,Paper Mario™: The Thousand-Year Door (CAN Version),B0CXQPR3F5,4.5,0,$,79.99,CAD,$79.99,Video Games,videogames,Any Department,zgbs
40,40,"OIVO XSX Controller Charger Station with 2 Packs Rechargeable Battery Packs for Xbox Series X/S/One/Elite/Core Controller, Xb",B08LBK5J49,4.5,16598,$,26.99,CAD,$26.99,Video Games,videogames,Any Department,zgbs
41,41,Bayonetta Origins: Cereza and the Lost Demon™,B0BQMWBBPB,4.9,35,$,39.99,CAD,$39.99,Video Games,videogames,Any Department,zgbs
42,42,"[2024 New Version] Switch Controller, Wireless Pro Controller Switch Lite, Switch Remote Controller Gamepad Joystick, Turbo a",B09J4FKYK9,4.5,3676,$,22.09,CAD,$22.09,Video Games,videogames,Any Department,zgbs
43,43,DualSense Wireless Controller - Cosmic Red,B0951LJBPD,4.7,1637,$,94.0,CAD,$94.00,Video Games,videogames,Any Department,zgbs
44,44,"SteelSeries Rival 3 Gaming Mouse - 8, 500 CPI Truemove Core Optical Sensor - 6 Programmable Buttons - Split Trigger Buttons -",B08176SM7C,4.5,5261,$,29.98,CAD,$29.98,Video Games,videogames,Any Department,zgbs
45,45,"Gaming Keyboard, 104 Keys All-Metal Panel, Dacoity Rainbow LED Backlit Quiet Computer Keyboard, Wrist Rest, Multimedia Keys, ",B09TZWLFLY,4.4,2826,$,30.99,CAD,$30.99,Video Games,videogames,Any Department,zgbs
46,46,"BINNUNE Gaming Headset with Microphone for Xbox Series X|S Xbox One PS4 PS5 PC, Gamer Headphones with Mic Casque for Xbox 1 P",B0BZL94RVY,4.3,864,$,35.99,CAD,$35.99,Video Games,videogames,Any Department,zgbs
47,47,PlayStation 5 Digital Edition Console (slim),B0CL7NKBBL,4.7,1187,$,579.0,CAD,$579.00,Video Games,videogames,Any Department,zgbs
48,48,"GameSir G7 SE Wired Controller for Xbox Series X|S, Xbox One & Windows 10/11, Plug and Play Gaming Gamepad with Hall Effect J",B0C7GW9F88,4.4,4279,$,63.99,CAD,$63.99,Video Games,videogames,Any Department,zgbs
49,49,DualSense Edge Wireless Controller,B0BKBJXJZZ,4.6,647,$,269.0,CAD,$269.00,Video Games,videogames,Any Department,zgbs
50,50,"Head Strap with Battery for Oculus Quest 2, 7500mAh Extend 4-5H Playtime, Adjustable Comfort Elite Head Strap Replacement, Li",B0BM9L3XJL,4.5,369,$,44.01,CAD,$44.01,Video Games,videogames,Any Department,zgbs
51,1,"Logitech G203 2nd Gen Wired Gaming Mouse, 8,000 DPI, Rainbow Optical Effect LIGHTSYNC RGB, 6 Programmable Buttons, On-Board M",B07YN82X3B,4.6,16056,$,39.99,CAD,$39.99,Video Games,videogames,Any Department,zgbs
52,2,"Vassink Ergonomic Mouse, Rechargeable Wireless Mouse, 2.4GHz Rechargeable Wireless Vertical Optical Mice with USB Receiver, 6",B09MVS1CXZ,4.1,991,$,31.99,CAD,$31.99,Video Games,videogames,Any Department,zgbs
53,3,"PS4 Controller Charging Cable, [2Pack 10FT] Micro USB 2.0 Nylon Braided High Speed Data Sync Cord for Playstation 4, PS4 Pro/",B0B27ZS9BV,4.5,894,$,13.99,CAD,$13.99,Video Games,videogames,Any Department,zgbs
54,4,PlayStation 4 USB Charging Cable,B00HUXPZPK,4.6,40527,$,13.73,CAD,$13.73,Video Games,videogames,Any Department,zgbs
55,5,Mario Vs. Donkey Kong™ (CAN Version),B0CJ3J383H,4.6,119,$,64.96,CAD,$64.96,Video Games,videogames,Any Department,zgbs
56,6,Stellar Blade - PlayStation 5,B0CTVB45QY,4.5,0,$,89.96,CAD,$89.96,Video Games,videogames,Any Department,zgbs
57,7,"PS5 Controller Charger, OIVO PS5 Charging Station for Dualsense Controller, PS5 Controller Charger Station with Fast Charging",B08LZGPPBH,4.6,17520,$,29.99,CAD,$29.99,Video Games,videogames,Any Department,zgbs
58,8,"Logitech G Driving Force Shifter – Compatible with G29, G920 & G923 Racing Wheels for-PlayStation-5-Playstation-4-Xbox-Series",B00Z0UWV3O,4.5,30798,$,69.99,CAD,$69.99,Video Games,videogames,Any Department,zgbs
59,9,"Wired Mouse, USB Wired Mouse with 6 Buttons Silent Click Ergonomic 1.5M USB Cable Computer Mouse Gaming Mice Silent Click 320",B0C7TSNKZW,4.4,2770,$,15.99,CAD,$15.99,Video Games,videogames,Any Department,zgbs
60,10,"NUBWO G06 Dual Wireless Gaming Headset with Microphone for PS5, PS4, PC, Mobile, Switch: 2.4GHz Wireless + Bluetooth - 100 Hr",B08TBF4S42,4.3,12475,$,59.99,CAD,$59.99,Video Games,videogames,Any Department,zgbs
61,11,"AceGamer Wireless Controller for PS4, Custom Design V2 Gamepad Joystick for PS4 with Non-Slip Grip of Both Sides and 3.5mm Au",B0BWH7FBZC,4.3,685,$,32.99,CAD,$32.99,Video Games,videogames,Any Department,zgbs
62,12,"KontrolFreek FPS Freek Galaxy Purple for PlayStation 4 (PS4) and PlayStation 5 (PS5) | Performance Thumbsticks | 1 High-Rise,",B016P09VFS,4.5,26285,$,22.99,CAD,$22.99,Video Games,videogames,Any Department,zgbs
63,13,PlayStation 5 Disc Edition Console (slim),B0CL7RQRY9,4.7,1187,$,649.0,CAD,$649.00,Video Games,videogames,Any Department,zgbs
64,14,Nintendo Switch™ - OLED Model with White Joy-Con,B098RKWHHZ,4.8,27813,$,444.88,CAD,$444.88,Video Games,videogames,Any Department,zgbs
65,15,"Gtheos Wireless Gaming Headphones 2.4GHz for PS5, PS4, PC, Mac, Nintendo Switch, Bluetooth 5.2 Gaming Headset with Detachable",B0BPY2Y4ZC,4.3,3777,$,59.99,CAD,$59.99,Video Games,videogames,Any Department,zgbs
