rank,title,rating,ratings_total,price
45,"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, eas",4.2,14855,$27.99
46,"Nuova Premium Thermal Laminating Pouches 9"" x 11.5"", Letter Size, 3 mil, 100 Pack (LP100H)",4.7,18315,$16.64
47,Amazon Basics 8-Sheet Cross-Cut Paper Shredder and Credit Card Shredder - Black,4.6,121373,$63.6
48,"RAOYI 64GB USB Stick 5 Pack USB Flash Drive 64G USB 2.0 Thumb Drive clé USB Memory Sticks USB Drives (64G, 5 Mixed Colors: Bl",4.3,4068,$23.39
49,"BERIBES Bluetooth Headphones Over Ear,65H Playtime and 6 EQ Modes Wireless Headphones with Microphone,Immersive Bass,HiFi Ste",4.4,23582,$36.99
50,"TP-Link Tapo 2K Indoor Home Security WiFi Camera, Up to 30ft Night Vision, Privacy Mode, Sound & Light Alarm, Up to 512 GB mi",4.3,12281,$29.99
51,"Amazon Fire HD 8 tablet, 8” HD Display, 32 GB, 30% faster processor, designed for portable entertainment, (2022 release), Bla",4.2,3163,$89.99
52,FITECRO Wireless Earbuds Bluetooth V5.2 Earbuds Built-in 4 Mic Bluetooth Headphones in-Ear Stereo Wireless Earphones 64H Tota,4.5,4248,$37.11
53,"soundcore by Anker Life P3 Noise Cancelling Earbuds, Ultra Long 50H Playtime, Fast Charging, Big Bass, Multi-Mode Noise Cance",4.4,30561,$59.99
54,"Mounting Dream TV Mount for Most 26-55 Inch TVs, Full Motion TV Wall Mount with Perfect Center Design on Single Stud Articula",4.7,73633,$33.99
55,Sycelu RF Remote Control Page Turner for Kindle Paperwhite Accessories Ipad Reading Kobo Surface Comics/Novels iPhone Tablets,4.7,416,$24.22
56,"TP-Link AC1300 USB WiFi Adapter (Archer T3U) - 2.4G/5G Dual Band Wireless Network Adapter for PC Desktop, MU-MIMO WiFi Dongle",4.5,14217,$22.99
57,"Monster Clarity 101 AirLinks Wireless Earbuds, Bluetooth 5.0 in-Ear Headphones with Charging Case, Stereo Earphones Deep Bass",4.1,5262,$39.99
58,"Amazon Smart Plug, for home automation, Works with Alexa",4.6,16338,$34.99
59,"Amazon Kindle – The lightest and most compact Kindle, with extended battery life, adjustable front light, and 16 GB storage –",4.6,2555,$129.99
60,NEXT-SHINE Digital Mini Pocket Size Kitchen Series Scale 500g Multi-Functional High Precision for Cooking Baking Jewelry Weig,4.3,2943,$13.99
61,"Wireless Earbuds, Bluetooth 5.3 Headphones, New Wireless Earphones HiFi Stereo Sound with 4 ENC Mic, IP7, Sport Bluetooth Ear",4.6,9505,$49.99
62,"Amazon Fire TV Stick Lite with Alexa Voice Remote Lite (no TV controls), HD streaming device",4.6,27170,$34.99
63,"Mounting Dream TV Wall Mount for Most 37-75"" TVs, Tilting TV Mount Low Profile up to VESA 600x400mm and 132 LBS Loading, Fits",4.7,101711,$39.99
64,Apple AirPods (3rd Generation) with Lightning Charging Case,4.4,20029,$224.99
65,"Amazon Fire TV 32"" 2-Series HD smart TV, stream live TV without cable",4.5,1373,$209.99
66,"REDTIGER Dash Cam Front Rear, 4K/2.5K Full HD Dash Camera for Cars, Free 32GB Card, Built-in Wi-Fi GPS, 3.18” IPS Screen, Nig",4.4,12111,$179.99
67,"Wireless Earbuds, Bluetooth Ear Buds 5.3 Mini HiFi Stereo with 4 ENC Noise Cancelling Mics Wireless Headphones, in Ear Earpho",4.5,2352,$28.99
68,"Yideing Wireless Earbuds,Bluetooth 5.3 Headphones Half in-Ear Earbuds 40Hrs Playtime with LED Digital Display Charging Case,I",4.7,614,$29.99
69,"Bluetooth Headphones Over Ear, KVIDIO 65 Hours Playtime Wireless Headphones with Microphone, Foldable Lightweight Headset wit",4.4,19796,$36.99
70,"Monster Bluetooth Speaker, Portable Bluetooth Speaker, 40W True Wireless Speaker,360° Stereo Sound Effect,IPX7 Waterproof Spe",4.3,1400,$59.99
71,"LQWELL® Mini Projector, Supports WiFi 6, BT5.0 with 11.0 Android OS, Automatic Keystone Correction, 180 Degree Angle, 130 Inc",4.0,1458,$109.99
72,"TECJOE 2 Pack LCD Writing Tablet, 8.5 Inch Colorful Doodle Board Drawing Tablet for Kids, Kids Travel Games Activity Learning",4.4,9782,$10.99
73,"TP-Link Tapo 2K Pan/Tilt Indoor Security WiFi Camera, Baby & Pet Camera w/ 360° Motion Tracking, 2-Way Audio, Night Vision, C",4.5,33902,$67.99
74,"FUJIFILM Instax Mini JP 2 Film for Instax Instant Camera, Pack of 20",4.4,6757,$31.99
75,"JSAUX USB C to 3.5mm Audio Aux Jack Cable【3.3ft/1M】, USB C to Aux Cord, Type C Audio Cable for Headphone Stereo Car, iPhone 1",4.3,7561,$12.99
76,"DEKCO 2Pack Outdoor Security Camera with 2K Color Night Vision, Pan Rotating 180° Wired Camera Surveillance Exterieur Support",4.3,6419,$79.99
77,"soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, IPX5 Water-Resis",4.4,15304,$24.99
78,"Wireless Earbuds, Mini Bluetooth 5.3 Headphones HiFi Stereo, Wireless Earphones with ENC Noise Cancelling Mic, Touch Control,",4.3,20644,$29.99
79,"Pipishell Full Motion TV Wall Mount for Most 26-60 Inch Flat Curved 4K TVs, Up to 77lbs and VESA 400x400mm, Single Articulati",4.7,9005,$39.99
80,"USB Flash Drive 256GB, Portable Thumb Drive: Memory Stick 256GB, Large Capacity USB Drive with Keychain, High-Speed USB 2.0 D",4.3,149,$19.99
81,Sony MDREX15LP Fashion Color EX Series Earbuds (Black),4.2,32008,$9.98
82,"Kaiess 62"" iPhone Tripod, Selfie Stick Tripod & Phone Tripod Stand with Remote, Cell Phone Tripod for iPhone, Extendable Trav",4.5,4015,$36.99
83,Sony MDRZX110 Over-Ear Headphones (Black),4.4,81950,$24.98
84,"Suptek Tilt TV Wall Mount Bracket for Most 26-60 inch LED, LCD and Plasma TV, Mount with Max 400x400mm VESA and 99lbs Loading",4.5,2207,$19.99
85,"Wireless Earbuds, Bluetooth Headphones 5.3 HiFi Stereo, Wireless Earphones with ENC Noise Cancelling Mic, IP7 Waterproof in E",4.5,27913,$49.99
86,"LG 24MP40A-C 24 Inch Full HD (1920 x 1080) Monitor with IPS 5ms 75Hz Display, AMD FreeSync and OnScreen Control, Charcoal Gre",4.5,833,$109.99
87,"Echo Dot (5th Gen, 2022 release) | Smart speaker with Alexa | Charcoal",4.6,11693,$69.99
88,"Amazon Kindle Paperwhite Signature Edition (32 GB) – With auto-adjusting front light, wireless charging, 6.8“ display, and up",4.7,3267,$209.99
89,"SAMSUNG 990 PRO SSD 1TB PCIe 4.0 M.2 Internal Solid State Hard Drive, Fastest for Gaming, Heat Control, Direct Storage and Me",4.7,6086,$124.97
